PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked_Q,Embarked_S
1,0,3,"Braund, Mr. Owen Harris",0,-0.5303766406838785,0.4327933656785018,-0.4736736092984604,A/5 21171,-0.5024451714361923,False,True
3,1,3,"Heikkinen, Miss. Laina",1,-0.25482473201211503,-0.47454519624983954,-0.4736736092984604,STON/O2. 3101282,-0.4888542575852486,False,True
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,0.36516706249935255,0.4327933656785018,-0.4736736092984604,113803,0.4207302360686478,False,True
5,0,3,"Allen, Mr. William Henry",0,0.36516706249935255,-0.47454519624983954,-0.4736736092984604,373450,-0.4863374216869257,False,True
7,0,1,"McCarthy, Mr. Timothy J",0,1.6740386286902287,-0.47454519624983954,-0.4736736092984604,17463,0.395813560675251,False,True
8,0,3,"Palsson, Master. Gosta Leonard",0,-1.9081361840426954,2.2474704895351842,0.7676298785983874,349909,-0.22408312108167944,False,True
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1,-0.1859367548441742,-0.47454519624983954,2.0089333664952354,347742,-0.4242561406845337,False,True
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",1,-1.0814804580274051,0.4327933656785018,-0.4736736092984604,237736,-0.04295550208861426,False,False
11,1,3,"Sandstrom, Miss. Marguerite Rut",1,-1.7703602297068137,0.4327933656785018,0.7676298785983874,PP 9549,-0.312172377522981,False,True
12,1,1,"Bonnell, Miss. Elizabeth",1,1.949590537361992,-0.47454519624983954,-0.4736736092984604,113783,-0.11384570873513637,False,True
13,0,3,"Saundercock, Mr. William Henry",0,-0.6681525950197601,-0.47454519624983954,-0.4736736092984604,A/5. 2151,-0.4863374216869257,False,True
14,0,3,"Andersson, Mr. Anders Johan",0,0.6407189711711159,0.4327933656785018,5.73284383018578,347082,-0.01870931177853076,False,True
15,0,3,"Vestrom, Miss. Hulda Amanda Adolfina",1,-1.0814804580274051,-0.47454519624983954,-0.4736736092984604,350406,-0.4902797934380587,False,True
16,1,2,"Hewlett, Mrs. (Mary D Kingcome) ",1,1.7429266058581694,-0.47454519624983954,-0.4736736092984604,248706,-0.3262666585535892,False,True
17,0,3,"Rice, Master. Eugene",0,-1.9081361840426954,3.1548090514635256,0.7676298785983874,382652,-0.06199888922968463,True,False
19,0,3,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",1,0.08961515382758917,0.4327933656785018,-0.4736736092984604,345763,-0.2859972841804228,False,True
21,0,2,"Fynney, Mr. Joseph J",0,0.36516706249935255,-0.47454519624983954,-0.4736736092984604,239865,-0.12491978668775715,False,True
22,1,2,"Beesley, Mr. Lawrence",0,0.2962790853314117,-0.47454519624983954,-0.4736736092984604,248698,-0.3866707201133388,False,True
23,1,3,"McGowan, Miss. Anna ""Annie""",1,-1.0125924808594644,-0.47454519624983954,-0.4736736092984604,330923,-0.4867562231804066,True,False
24,1,1,"Sloper, Mr. William Thompson",0,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,113788,0.06635974158478332,False,True
25,0,3,"Palsson, Miss. Torborg Danira",1,-1.4948083210350502,2.2474704895351842,0.7676298785983874,349909,-0.22408312108167944,False,True
26,1,3,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",1,0.571830994003175,0.4327933656785018,5.73284383018578,347077,-0.016444159470040135,False,True
31,0,1,"Uruchurtu, Don. Manuel E",0,0.7096069483390568,-0.47454519624983954,-0.4736736092984604,PC 17601,-0.09027201697708476,False,False
36,0,1,"Holverson, Mr. Alexander Oskar",0,0.8473829026749384,0.4327933656785018,-0.4736736092984604,113789,0.39858208016340624,False,True
38,0,3,"Cann, Mr. Ernest Charles",0,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,A./5. 2152,-0.4863374216869257,False,True
39,0,3,"Vander Planke, Miss. Augusta Maria",1,-0.8059285493556418,1.340131927606843,-0.4736736092984604,345764,-0.2859972841804228,False,True
40,1,3,"Nicola-Yarred, Miss. Jamila",1,-1.0814804580274051,0.4327933656785018,-0.4736736092984604,2651,-0.42207354059350805,False,False
41,0,3,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",1,0.7096069483390568,0.4327933656785018,-0.4736736092984604,7546,-0.4576454924460446,False,True
42,0,2,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",1,-0.1859367548441742,0.4327933656785018,-0.4736736092984604,11668,-0.22559322262067316,False,True
44,1,2,"Laroche, Miss. Simonne Marie Anne Andree",1,-1.8392482068747544,0.4327933656785018,2.0089333664952354,SC/Paris 2123,0.18876253192945994,False,False
45,1,3,"Devaney, Miss. Margaret Delia",1,-0.7370405721877009,-0.47454519624983954,-0.4736736092984604,330958,-0.48977642625839407,True,False
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",1,-0.8059285493556418,0.4327933656785018,-0.4736736092984604,349237,-0.29002422161773944,False,True
51,0,3,"Panula, Master. Juha Niilo",0,-1.5636962982029912,3.1548090514635256,0.7676298785983874,3101295,0.1506737441786005,False,True
52,0,3,"Nosworthy, Mr. Richard Cater",0,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,A/4. 39886,-0.4913710934835715,False,True
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",1,-0.04816080050829252,0.4327933656785018,-0.4736736092984604,2926,-0.12491978668775715,False,True
57,1,2,"Rugg, Miss. Emily",1,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,C.A. 31026,-0.43700743807979686,False,True
58,0,3,"Novel, Mr. Mansouer",0,-0.08260478909226295,-0.47454519624983954,-0.4736736092984604,2697,-0.5028639729296732,False,False
59,1,2,"West, Miss. Constance Mirium",1,-1.7014722525388728,0.4327933656785018,2.0089333664952354,C.A. 34651,-0.08968408411123653,False,True
60,0,3,"Goodwin, Master. William Frederick",0,-1.2881443895312277,4.0621476133918675,2.0089333664952354,CA 2144,0.2958951755118318,False,True
61,0,3,"Sirayanian, Mr. Orsen",0,-0.5303766406838785,-0.47454519624983954,-0.4736736092984604,2669,-0.5028639729296732,False,False
64,0,3,"Skoog, Master. Harald",0,-1.7703602297068137,2.2474704895351842,2.0089333664952354,347088,-0.08666388103324908,False,True
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",1,-0.04816080050829252,-0.47454519624983954,-0.4736736092984604,C.A. 29395,-0.43700743807979686,False,True
68,0,3,"Crease, Mr. Ernest James",0,-0.7370405721877009,-0.47454519624983954,-0.4736736092984604,S.P. 3464,-0.4841568350646187,False,True
69,1,3,"Andersson, Miss. Erna Alexandra",1,-0.8748165265235827,3.1548090514635256,2.0089333664952354,3101281,-0.4888542575852486,False,True
70,0,3,"Kink, Mr. Vincenz",0,-0.25482473201211503,1.340131927606843,-0.4736736092984604,315151,-0.47400492578514347,False,True
71,0,2,"Jenkin, Mr. Stephen Curnow",0,0.15850313099553,-0.47454519624983954,-0.4736736092984604,C.A. 33111,-0.43700743807979686,False,True
72,0,3,"Goodwin, Miss. Lillian Amy",1,-0.9437045036915235,4.0621476133918675,2.0089333664952354,CA 2144,0.2958951755118318,False,True
74,0,3,"Chronopoulos, Mr. Apostolos",0,-0.25482473201211503,0.4327933656785018,-0.4736736092984604,2680,-0.3573908580066095,False,False
75,1,3,"Bing, Mr. Lee",0,0.15850313099553,-0.47454519624983954,-0.4736736092984604,1601,0.48910360681684706,False,True
76,0,3,"Moen, Mr. Sigurd Hansen",0,-0.3237127091800559,-0.47454519624983954,-0.4736736092984604,348123,-0.494391296561559,False,True
79,1,2,"Caldwell, Master. Alden Gates",0,-1.9887351173291863,-0.47454519624983954,2.0089333664952354,248738,-0.06451572512800753,False,True
80,1,3,"Dowdell, Miss. Elizabeth",1,0.020727176659648322,-0.47454519624983954,-0.4736736092984604,364516,-0.397241430886295,False,True
81,0,3,"Waelens, Mr. Achille",0,-0.5303766406838785,-0.47454519624983954,-0.4736736092984604,345767,-0.46720946885967163,False,True
82,1,3,"Sheerlinck, Mr. Jan Baptist",0,-0.04816080050829252,-0.47454519624983954,-0.4736736092984604,345779,-0.45714212526638004,False,True
84,0,1,"Carrau, Mr. Francisco M",0,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,113059,0.29992211294914856,False,True
85,1,2,"Ilett, Miss. Bertha",1,-0.8748165265235827,-0.47454519624983954,-0.4736736092984604,SO/C 14885,-0.43700743807979686,False,True
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",1,0.22739110816347086,2.2474704895351842,-0.4736736092984604,3101278,-0.32928686163157667,False,True
87,0,3,"Ford, Mr. William Neal",0,-0.9437045036915235,0.4327933656785018,3.250236854392083,W./C. 6608,0.04370821849987721,False,True
90,0,3,"Celotti, Mr. Francesco",0,-0.3926006863479967,-0.47454519624983954,-0.4736736092984604,343275,-0.4863374216869257,False,True
91,0,3,"Christmann, Mr. Emil",0,-0.04816080050829252,-0.47454519624983954,-0.4736736092984604,343276,-0.4863374216869257,False,True
92,0,3,"Andreasson, Mr. Paul Edvin",0,-0.6681525950197601,-0.47454519624983954,-0.4736736092984604,347466,-0.4902797934380587,False,True
93,0,1,"Chaffee, Mr. Herbert Fuller",0,1.122934811346702,0.4327933656785018,-0.4736736092984604,W.E.P. 5734,0.5833178351003071,False,True
94,0,3,"Dean, Mr. Bertram Frank",0,-0.25482473201211503,0.4327933656785018,2.0089333664952354,C.A. 2315,-0.23415046467497105,False,True
95,0,3,"Coxon, Mr. Daniel",0,2.018478514529933,-0.47454519624983954,-0.4736736092984604,364500,-0.5024451714361923,False,True
98,1,1,"Greenfield, Mr. William Bertram",0,-0.4614886635159376,-0.47454519624983954,0.7676298785983874,PC 17759,0.6272778976347743,False,False
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",1,0.2962790853314117,-0.47454519624983954,0.7676298785983874,231919,-0.18532384824750675,False,True
100,0,2,"Kantor, Mr. Sinai",0,0.2962790853314117,0.4327933656785018,-0.4736736092984604,244367,-0.12491978668775715,False,True
101,0,3,"Petranec, Miss. Matilda",1,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,349245,-0.4894421904510968,False,True
104,0,3,"Johansson, Mr. Gustaf Joel",0,0.22739110816347086,-0.47454519624983954,-0.4736736092984604,7540,-0.4741720436887921,False,True
105,0,3,"Gustafsson, Mr. Anders Vilhelm",0,0.5029430168352342,1.340131927606843,-0.4736736092984604,3101276,-0.4888542575852486,False,True
106,0,3,"Mionoff, Mr. Stoytcho",0,-0.11704877767623337,-0.47454519624983954,-0.4736736092984604,349207,-0.4894421904510968,False,True
107,1,3,"Salkjelsvik, Miss. Anna Kristine",1,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,343120,-0.494391296561559,False,True
109,0,3,"Rekic, Mr. Tido",0,0.571830994003175,-0.47454519624983954,-0.4736736092984604,349249,-0.4894421904510968,False,True
111,0,1,"Porter, Mr. Walter Chamberlain",0,1.1918227885146426,-0.47454519624983954,-0.4736736092984604,110465,0.39858208016340624,False,True
112,0,3,"Zabour, Miss. Hileni",1,-1.0470364694434349,0.4327933656785018,-0.4736736092984604,2665,-0.3573908580066095,False,False
113,0,3,"Barton, Mr. David John",0,-0.5303766406838785,-0.47454519624983954,-0.4736736092984604,324669,-0.4863374216869257,False,True
114,0,3,"Jussila, Miss. Katriina",1,-0.6681525950197601,0.4327933656785018,-0.4736736092984604,4136,-0.4505983519307405,False,True
115,0,3,"Attalah, Miss. Malake",1,-0.8748165265235827,-0.47454519624983954,-0.4736736092984604,2627,-0.3573083057891445,False,False
116,0,3,"Pekoniemi, Mr. Edvard",0,-0.5992646178518193,-0.47454519624983954,-0.4736736092984604,STON/O 2. 3101294,-0.4888542575852486,False,True
118,0,2,"Turpin, Mr. William John Robert",0,-0.04816080050829252,0.4327933656785018,-0.4736736092984604,11668,-0.22559322262067316,False,True
120,0,3,"Andersson, Miss. Ellis Anna Maria",1,-1.9081361840426954,3.1548090514635256,2.0089333664952354,347082,-0.01870931177853076,False,True
123,0,2,"Nasser, Mr. Nicholas",0,0.19294711957950042,0.4327933656785018,-0.4736736092984604,237736,-0.04295550208861426,False,False
